baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.0009238425991,800,0.0205639489,800,0.01294005383,800,0.004527887329,
799,0.0006809980841,799,0.02041141689,799,0.01269282401,799,0.004475680646,
798,0.0004911791766,798,0.02018400468,798,0.01256085467,798,0.004400964826,
797,0.0003359226685,797,0.02026186511,797,0.01232334785,797,0.004284771159,
796,0.0001974771731,796,0.02037109993,796,0.01215475239,796,0.004184552003,
795,-0.0001173511264,795,0.02037839778,795,0.01193617191,795,0.004227600992,
794,-0.0001415731676,794,0.02039700933,794,0.0118090082,794,0.004032725003,
793,-0.0004706106847,793,0.02029522695,793,0.01136712264,793,0.003955316264,
792,-0.0006231974112,792,0.02020116895,792,0.01134206541,792,0.003903752891,
791,-0.0008515894879,791,0.02005391382,791,0.01116646733,791,0.003781712614,
790,-0.001035549212,790,0.02033320256,790,0.01071982179,790,0.003821431426,
789,-0.001354775392,789,0.02042134665,789,0.01065765973,789,0.003723486094,
788,-0.001531454385,788,0.02024244517,788,0.01040806621,788,0.003665240947,
787,-0.001743487897,787,0.01993527263,787,0.01023088396,787,0.003746932372,
786,-0.002047972754,786,0.01969695091,786,0.009921809658,786,0.003757846542,
785,-0.002200830495,785,0.01945642941,785,0.009757295251,785,0.003799834987,
784,-0.002410426503,784,0.01929040253,784,0.009358671494,784,0.003720091889,
783,-0.002672716975,783,0.01895448007,783,0.009151328355,783,0.003916316666,
782,-0.002889182651,782,0.01874915324,782,0.008976190351,782,0.004049185663,
781,-0.003192557255,781,0.01855424419,781,0.008635579608,781,0.00404126849,
780,-0.003452218603,780,0.01833949424,780,0.008508164436,780,0.004365951754,
779,-0.003688984318,779,0.01806542464,779,0.008231125772,779,0.004513422493,
778,-0.00384906563,778,0.0177522637,778,0.007958534174,778,0.004848274868,
777,-0.00425903406,777,0.01758367755,777,0.007628336549,777,0.005084058736,
776,-0.004494335502,776,0.01721599884,776,0.007356939372,776,0.005543242674,
775,-0.00479392847,775,0.01691254601,775,0.007049771491,775,0.005998529494,
774,-0.00498390384,774,0.01669766381,774,0.00668790238,774,0.006379000377,
773,-0.005289501511,773,0.01633691601,773,0.006464356557,773,0.00702669844,
772,-0.005545612425,772,0.01598578505,772,0.006193108391,772,0.007753781509,
771,-0.005916498136,771,0.01576059684,771,0.005914051551,771,0.008480922319,
770,-0.006169023924,770,0.01548152417,770,0.005561124068,770,0.009354863316,
769,-0.006471952889,769,0.01522611454,769,0.005249354057,769,0.01036927849,
768,-0.006865032483,768,0.01495796628,768,0.005095609464,768,0.0114832595,
767,-0.006979371421,767,0.01467683818,767,0.004689072259,767,0.0128101958,
766,-0.007348475512,766,0.01425591297,766,0.004497676622,766,0.01422400214,
765,-0.007669200189,765,0.0140771009,765,0.004201070871,765,0.01588999853,
764,-0.00788461417,764,0.0137527734,764,0.003822737141,764,0.0176934544,
763,-0.00822247006,763,0.01349998079,763,0.003581816331,763,0.0198127348,
762,-0.008527930826,762,0.01312824339,762,0.003182638437,762,0.02214015275,
761,-0.008835053071,761,0.01282294001,761,0.002842813963,761,0.02471367456,
760,-0.00912644621,760,0.01256295945,760,0.00255072047,760,0.02754898742,
759,-0.009393072687,759,0.01228414848,759,0.002287343377,759,0.03099104576,
758,-0.009711532854,758,0.01195301488,758,0.001996117178,758,0.03455157951,
757,-0.009969451465,757,0.01166964881,757,0.001659324276,757,0.0385636203,
756,-0.01028051134,756,0.01136135589,756,0.001447130111,756,0.0430021584,
755,-0.01066192612,755,0.0110745253,755,0.001201033709,755,0.04802755639,
754,-0.01089671347,754,0.0107268272,754,0.0008623146568,754,0.05366034061,
753,-0.01112461276,753,0.01056227181,753,0.0004869808909,753,0.05986782908,
752,-0.01147089992,752,0.0101421345,752,0.0002012582554,752,0.06667844951,
751,-0.011733572,751,0.009852559306,751,-1.967289063E-005,751,0.07425604761,
750,-0.01204815507,750,0.009554180317,750,-0.0002952585055,750,0.08259878308,
749,-0.01236553025,749,0.009391867556,749,-0.0006772181368,749,0.09180419892,
748,-0.01257053018,748,0.008976560086,748,-0.0009686590638,748,0.1020589694,
747,-0.01286224369,747,0.00876076147,747,-0.001296554576,747,0.113406226,
746,-0.01316953171,746,0.00849654898,746,-0.001547962776,746,0.1258825958,
745,-0.01343037561,745,0.008193823509,745,-0.001875369926,745,0.1394540817,
744,-0.01377076749,744,0.007840857841,744,-0.002109544817,744,0.1543585509,
743,-0.01395073999,743,0.007508247625,743,-0.002428343054,743,0.1707802117,
742,-0.01430334896,742,0.007239820901,742,-0.002607673872,742,0.1888104975,
741,-0.01457607839,741,0.007044404279,741,-0.002948990092,741,0.2084946334,
740,-0.01481261291,740,0.006768665276,740,-0.003288137261,740,0.2295842469,
739,-0.01514512394,739,0.006437269039,739,-0.003468397306,739,0.2526533902,
738,-0.01533422433,738,0.006238851696,738,-0.003704641014,738,0.2776964903,
737,-0.01551779639,737,0.005918775219,737,-0.004042531829,737,0.3047635853,
736,-0.01583758928,736,0.005682249088,736,-0.004344691988,736,0.3337435126,
735,-0.01612846367,735,0.005420085508,735,-0.004565398209,735,0.3645382524,
734,-0.01632102393,734,0.005241729785,734,-0.004808982369,734,0.398001045,
733,-0.01663100906,733,0.005023562349,733,-0.005116442684,733,0.4329975247,
732,-0.01681383513,732,0.004667589441,732,-0.005317528266,732,0.4702599049,
731,-0.01710126922,731,0.004445682745,731,-0.005574746989,731,0.5092929006,
730,-0.01736438833,730,0.004224830307,730,-0.005702354014,730,0.5502306819,
729,-0.0175572969,729,0.003967855126,729,-0.00606657099,729,0.5932656527,
728,-0.01775797457,728,0.003781268839,728,-0.006208936684,728,0.6380808949,
727,-0.01801518165,727,0.00342198112,727,-0.006489498541,727,0.6837584972,
726,-0.01829333603,726,0.003350994084,726,-0.006756219082,726,0.7309365869,
725,-0.01850413904,725,0.003040649695,725,-0.006901874673,725,0.7791521549,
724,-0.01869942062,724,0.002812694293,724,-0.007150110789,724,0.8282473087,
723,-0.01888088137,723,0.002570249839,723,-0.007360692136,723,0.8775844574,
722,-0.01914054714,722,0.002441450953,722,-0.007562267594,722,0.9265574813,
721,-0.01935158484,721,0.002178894356,721,-0.007819380611,721,0.9759730101,
720,-0.01954950392,720,0.001972869271,720,-0.0080135772,720,1.024180293,
719,-0.01976905018,719,0.001787345507,719,-0.008206162602,719,1.071729422,
718,-0.01994170807,718,0.001577842748,718,-0.008410240524,718,1.117673874,
717,-0.02017039619,717,0.001430689939,717,-0.008574480191,717,1.161678076,
716,-0.02031918243,716,0.001196439262,716,-0.008850576356,716,1.203696847,
715,-0.0204602126,715,0.0009571781266,715,-0.009008411318,715,1.242878079,
714,-0.02065979876,714,0.0008388678543,714,-0.009146318771,714,1.278979063,
713,-0.02088095434,713,0.0006003738963,713,-0.009437350556,713,1.311623693,
712,-0.0210687574,712,0.0004181042605,712,-0.009553750046,712,1.340804815,
711,-0.02119396254,711,0.000255621504,711,-0.009649307467,711,1.366376758,
710,-0.02143199742,710,0.0001426292147,710,-0.009877203032,710,1.387494087,
709,-0.02159439027,709,-0.000116885305,709,-0.0100182239,709,1.404154658,
708,-0.02178493887,708,-0.0002490033803,708,-0.01024693809,708,1.41632688,
707,-0.02192706801,707,-0.000381288206,707,-0.01037939731,707,1.424147964,
706,-0.02201295272,706,-0.0005338545889,706,-0.01047805883,706,1.42761457,
705,-0.02218855917,705,-0.0006935522542,705,-0.01067889947,705,1.4263376,
704,-0.02236847207,704,-0.000928106776,704,-0.01080648042,704,1.420930147,
703,-0.02251606435,703,-0.001040972304,703,-0.01099323854,703,1.411172271,
702,-0.02260365151,702,-0.001225316548,702,-0.01110609248,702,1.3975178,
701,-0.02277238667,701,-0.001401583781,701,-0.01122925896,701,1.379848838,
700,-0.02291969396,700,-0.00152841059,700,-0.01142390445,700,1.358968377,
699,-0.02311128192,699,-0.00166066736,699,-0.01156336535,699,1.334801197,
698,-0.02318613604,698,-0.001824746025,698,-0.01163726207,698,1.307611942,
697,-0.02333050594,697,-0.001977836946,697,-0.01177670527,697,1.278052211,
696,-0.02344088629,696,-0.002033493016,696,-0.01192663051,696,1.246387124,
695,-0.02357894555,695,-0.002225039527,695,-0.01205409691,695,1.212423921,
694,-0.02374891937,694,-0.002404814586,694,-0.01209780294,694,1.177452445,
