position	intensity
1	71.94117647
2	72.41176471
3	73.29411765
4	69.70588235
5	70.76470588
6	69.94117647
7	72.35294118
8	71.94117647
9	71.52941176
10	73.82352941
11	73.64705882
12	94.05882353
13	138.7647059
14	142.3529412
15	139.2941176
16	142.1764706
17	150
18	149.8823529
19	150.7058824
20	135.5294118
21	91.17647059
22	69.23529412
23	66.52941176
24	66.11764706
25	63.88235294
26	64.29411765
27	60.88235294
28	60.47058824
29	59
30	58.05882353
31	54.47058824
32	55.11764706
33	55.70588235
34	53.88235294
35	52.82352941
36	52.82352941
37	53.88235294
38	51.94117647
39	53.70588235
